A_X [mg]	A_Y [mg]	A_Z [mg]	
320	0	0
304	0	0
352	0	0
304	0	0
352	0	0
320	0	0
320	0	0
320	0	0
352	0	0
336	0	0
336	0	0
352	0	0
336	0	0
352	0	0
320	0	0
336	0	0
288	0	0
352	0	0
320	0	0
336	0	0
352	0	0
336	0	0
304	0	0
336	0	0
304	0	0
368	0	0
320	0	0
336	0	0
352	0	0
336	0	0
352	0	0
336	0	0
320	0	0
352	0	0
352	0	0
352	0	0
320	0	0
272	0	0
320	0	0
368	0	0
336	0	0
352	0	0
352	0	0
336	0	0
304	0	0
336	0	0
320	0	0
320	0	0
352	0	0
336	0	0
352	0	0
368	0	0
336	0	0
352	0	0
368	0	0
336	0	0
336	0	0
320	0	0
352	0	0
352	0	0
352	0	0
336	0	0
336	0	0
320	0	0
352	0	0
304	0	0
336	0	0
320	0	0
336	0	0
416	0	0
400	0	0
400	0	0
400	0	0
384	0	0
400	0	0
368	0	0
352	0	0
336	0	0
352	0	0
304	0	0
352	0	0
352	0	0
336	0	0
336	0	0
336	0	0
320	0	0
320	0	0
336	0	0
320	0	0
336	0	0
368	0	0
320	0	0
352	0	0
320	0	0
336	0	0
336	0	0
368	0	0
336	0	0
304	0	0
320	0	0
320	0	0
336	0	0
352	0	0
352	0	0
336	0	0
336	0	0
352	0	0
304	0	0
336	0	0
320	0	0
368	0	0
320	0	0
304	0	0
288	0	0
320	0	0
304	0	0
352	0	0
352	0	0
336	0	0
352	0	0
320	0	0
304	0	0
320	0	0
352	0	0
304	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
384	0	0
320	0	0
368	0	0
336	0	0
320	0	0
352	0	0
336	0	0
368	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
320	0	0
336	0	0
336	0	0
384	0	0
368	0	0
368	0	0
336	0	0
336	0	0
336	0	0
336	0	0
320	0	0
368	0	0
320	0	0
352	0	0
304	0	0
352	0	0
320	0	0
320	0	0
336	0	0
336	0	0
352	0	0
336	0	0
336	0	0
336	0	0
352	0	0
304	0	0
352	0	0
352	0	0
336	0	0
320	0	0
320	0	0
336	0	0
304	0	0
304	0	0
336	0	0
320	0	0
352	0	0
368	0	0
368	0	0
416	0	0
368	0	0
384	0	0
368	0	0
336	0	0
336	0	0
336	0	0
336	0	0
352	0	0
320	0	0
304	0	0
320	0	0
352	0	0
336	0	0
336	0	0
336	0	0
320	0	0
336	0	0
304	0	0
304	0	0
336	0	0
304	0	0
320	0	0
320	0	0
320	0	0
320	0	0
352	0	0
320	0	0
320	0	0
320	0	0
336	0	0
304	0	0
336	0	0
352	0	0
304	0	0
320	0	0
336	0	0
304	0	0
368	0	0
336	0	0
336	0	0
304	0	0
320	0	0
320	0	0
320	0	0
352	0	0
336	0	0
288	0	0
320	0	0
320	0	0
352	0	0
352	0	0
352	0	0
320	0	0
384	0	0
320	0	0
336	0	0
320	0	0
320	0	0
352	0	0
320	0	0
336	0	0
352	0	0
352	0	0
336	0	0
336	0	0
320	0	0
320	0	0
288	0	0
304	0	0
304	0	0
352	0	0
336	0	0
352	0	0
336	0	0
320	0	0
368	0	0
384	0	0
320	0	0
320	0	0
368	0	0
336	0	0
368	0	0
352	0	0
320	0	0
320	0	0
352	0	0
336	0	0
336	0	0
336	0	0
336	0	0
320	0	0
352	0	0
352	0	0
352	0	0
336	0	0
320	0	0
352	0	0
320	0	0
368	0	0
368	0	0
336	0	0
336	0	0
320	0	0
320	0	0
352	0	0
352	0	0
368	0	0
368	0	0
400	0	0
400	0	0
384	0	0
368	0	0
384	0	0
368	0	0
352	0	0
352	0	0
336	0	0
352	0	0
336	0	0
320	0	0
352	0	0
320	0	0
336	0	0
368	0	0
352	0	0
304	0	0
304	0	0
320	0	0
320	0	0
368	0	0
320	0	0
320	0	0
352	0	0
304	0	0
352	0	0
320	0	0
336	0	0
336	0	0
352	0	0
320	0	0
352	0	0
320	0	0
304	0	0
336	0	0
336	0	0
336	0	0
336	0	0
304	0	0
304	0	0
304	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
352	0	0
352	0	0
304	0	0
336	0	0
352	0	0
336	0	0
320	0	0
368	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
336	0	0
336	0	0
304	0	0
352	0	0
320	0	0
368	0	0
336	0	0
336	0	0
336	0	0
336	0	0
352	0	0
320	0	0
336	0	0
336	0	0
336	0	0
304	0	0
336	0	0
352	0	0
352	0	0
368	0	0
352	0	0
320	0	0
304	0	0
320	0	0
352	0	0
336	0	0
352	0	0
336	0	0
336	0	0
320	0	0
352	0	0
336	0	0
352	0	0
336	0	0
320	0	0
320	0	0
304	0	0
336	0	0
368	0	0
336	0	0
304	0	0
336	0	0
352	0	0
352	0	0
384	0	0
368	0	0
384	0	0
352	0	0
384	0	0
352	0	0
352	0	0
352	0	0
368	0	0
368	0	0
336	0	0
320	0	0
336	0	0
320	0	0
320	0	0
352	0	0
320	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
336	0	0
352	0	0
304	0	0
304	0	0
320	0	0
304	0	0
320	0	0
304	0	0
304	0	0
336	0	0
320	0	0
336	0	0
368	0	0
304	0	0
336	0	0
304	0	0
304	0	0
304	0	0
352	0	0
288	0	0
368	0	0
304	0	0
304	0	0
368	0	0
320	0	0
320	0	0
320	0	0
320	0	0
320	0	0
336	0	0
352	0	0
336	0	0
352	0	0
352	0	0
352	0	0
320	0	0
336	0	0
288	0	0
336	0	0
320	0	0
368	0	0
352	0	0
336	0	0
320	0	0
320	0	0
336	0	0
368	0	0
336	0	0
352	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
352	0	0
352	0	0
336	0	0
304	0	0
320	0	0
336	0	0
336	0	0
336	0	0
336	0	0
368	0	0
352	0	0
320	0	0
304	0	0
336	0	0
352	0	0
320	0	0
352	0	0
352	0	0
352	0	0
352	0	0
352	0	0
336	0	0
336	0	0
320	0	0
336	0	0
352	0	0
320	0	0
336	0	0
320	0	0
320	0	0
336	0	0
352	0	0
352	0	0
384	0	0
400	0	0
400	0	0
384	0	0
368	0	0
368	0	0
336	0	0
352	0	0
368	0	0
368	0	0
320	0	0
304	0	0
320	0	0
288	0	0
320	0	0
304	0	0
336	0	0
320	0	0
320	0	0
368	0	0
352	0	0
352	0	0
320	0	0
368	0	0
320	0	0
288	0	0
304	0	0
320	0	0
320	0	0
320	0	0
352	0	0
336	0	0
352	0	0
336	0	0
304	0	0
336	0	0
320	0	0
320	0	0
304	0	0
304	0	0
336	0	0
288	0	0
336	0	0
336	0	0
336	0	0
336	0	0
304	0	0
304	0	0
320	0	0
352	0	0
336	0	0
288	0	0
304	0	0
352	0	0
352	0	0
336	0	0
304	0	0
304	0	0
304	0	0
368	0	0
336	0	0
320	0	0
384	0	0
336	0	0
320	0	0
320	0	0
320	0	0
336	0	0
304	0	0
320	0	0
336	0	0
320	0	0
352	0	0
320	0	0
336	0	0
336	0	0
320	0	0
352	0	0
352	0	0
336	0	0
352	0	0
320	0	0
368	0	0
352	0	0
320	0	0
336	0	0
352	0	0
320	0	0
336	0	0
352	0	0
368	0	0
352	0	0
352	0	0
352	0	0
336	0	0
352	0	0
368	0	0
336	0	0
320	0	0
336	0	0
352	0	0
368	0	0
352	0	0
336	0	0
320	0	0
336	0	0
304	0	0
336	0	0
336	0	0
368	0	0
400	0	0
400	0	0
416	0	0
400	0	0
368	0	0
368	0	0
368	0	0
336	0	0
368	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
320	0	0
336	0	0
320	0	0
352	0	0
320	0	0
304	0	0
320	0	0
320	0	0
352	0	0
336	0	0
336	0	0
336	0	0
336	0	0
352	0	0
336	0	0
336	0	0
304	0	0
352	0	0
304	0	0
352	0	0
336	0	0
320	0	0
368	0	0
304	0	0
320	0	0
336	0	0
336	0	0
368	0	0
352	0	0
320	0	0
320	0	0
336	0	0
336	0	0
336	0	0
336	0	0
336	0	0
336	0	0
352	0	0
320	0	0
320	0	0
336	0	0
304	0	0
304	0	0
336	0	0
368	0	0
336	0	0
336	0	0
336	0	0
320	0	0
320	0	0
304	0	0
336	0	0
320	0	0
336	0	0
304	0	0
352	0	0
320	0	0
304	0	0
320	0	0
320	0	0
304	0	0
352	0	0
368	0	0
320	0	0
352	0	0
320	0	0
336	0	0
336	0	0
336	0	0
304	0	0
368	0	0
352	0	0
368	0	0
368	0	0
336	0	0
368	0	0
384	0	0
320	0	0
336	0	0
336	0	0
352	0	0
368	0	0
368	0	0
336	0	0
320	0	0
368	0	0
336	0	0
288	0	0
368	0	0
320	0	0
352	0	0
304	0	0
352	0	0
352	0	0
320	0	0
352	0	0
368	0	0
336	0	0
384	0	0
384	0	0
416	0	0
384	0	0
400	0	0
368	0	0
368	0	0
320	0	0
352	0	0
352	0	0
336	0	0
320	0	0
336	0	0
336	0	0
368	0	0
304	0	0
320	0	0
352	0	0
320	0	0
320	0	0
336	0	0
352	0	0
304	0	0
320	0	0
320	0	0
336	0	0
288	0	0
320	0	0
336	0	0
336	0	0
336	0	0
304	0	0
320	0	0
352	0	0
352	0	0
352	0	0
320	0	0
320	0	0
320	0	0
288	0	0
320	0	0
336	0	0
336	0	0
320	0	0
304	0	0
336	0	0
320	0	0
320	0	0
320	0	0
320	0	0
368	0	0
336	0	0
336	0	0
352	0	0
336	0	0
336	0	0
368	0	0
320	0	0
320	0	0
352	0	0
320	0	0
320	0	0
304	0	0
352	0	0
336	0	0
352	0	0
320	0	0
320	0	0
304	0	0
368	0	0
336	0	0
352	0	0
336	0	0
336	0	0
368	0	0
352	0	0
320	0	0
352	0	0
320	0	0
368	0	0
368	0	0
352	0	0
288	0	0
336	0	0
336	0	0
368	0	0
336	0	0
352	0	0
352	0	0
368	0	0
336	0	0
352	0	0
368	0	0
352	0	0
352	0	0
336	0	0
352	0	0
336	0	0
352	0	0
320	0	0
352	0	0
336	0	0
368	0	0
352	0	0
336	0	0
320	0	0
336	0	0
352	0	0
352	0	0
320	0	0
352	0	0
384	0	0
368	0	0
352	0	0
384	0	0
416	0	0
352	0	0
384	0	0
336	0	0
304	0	0
368	0	0
352	0	0
320	0	0
320	0	0
320	0	0
320	0	0
336	0	0
320	0	0
304	0	0
320	0	0
320	0	0
368	0	0
336	0	0
352	0	0
320	0	0
320	0	0
320	0	0
320	0	0
320	0	0
336	0	0
320	0	0
336	0	0
320	0	0
320	0	0
320	0	0
352	0	0
320	0	0
320	0	0
320	0	0
320	0	0
336	0	0
352	0	0
320	0	0
352	0	0
320	0	0
320	0	0
320	0	0
320	0	0
304	0	0
336	0	0
320	0	0
304	0	0
320	0	0
336	0	0
352	0	0
336	0	0
320	0	0
336	0	0
320	0	0
336	0	0
320	0	0
336	0	0
368	0	0
336	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
336	0	0
320	0	0
320	0	0
336	0	0
336	0	0
352	0	0
352	0	0
352	0	0
352	0	0
320	0	0
304	0	0
352	0	0
336	0	0
352	0	0
368	0	0
336	0	0
320	0	0
320	0	0
336	0	0
304	0	0
352	0	0
352	0	0
352	0	0
368	0	0
320	0	0
320	0	0
336	0	0
336	0	0
352	0	0
320	0	0
352	0	0
336	0	0
320	0	0
304	0	0
352	0	0
352	0	0
352	0	0
336	0	0
336	0	0
304	0	0
304	0	0
336	0	0
336	0	0
352	0	0
384	0	0
384	0	0
384	0	0
384	0	0
368	0	0
368	0	0
368	0	0
368	0	0
336	0	0
368	0	0
336	0	0
320	0	0
320	0	0
320	0	0
336	0	0
336	0	0
304	0	0
352	0	0
336	0	0
320	0	0
352	0	0
304	0	0
336	0	0
336	0	0
368	0	0
352	0	0
320	0	0
336	0	0
304	0	0
320	0	0
336	0	0
304	0	0
304	0	0
352	0	0
352	0	0
304	0	0
320	0	0
304	0	0
320	0	0
368	0	0
320	0	0
336	0	0
304	0	0
320	0	0
352	0	0
352	0	0
336	0	0
336	0	0
320	0	0
336	0	0
320	0	0
352	0	0
336	0	0
304	0	0
368	0	0
368	0	0
352	0	0
352	0	0
336	0	0
320	0	0
304	0	0
304	0	0
336	0	0
336	0	0
336	0	0
336	0	0
304	0	0
320	0	0
304	0	0
368	0	0
352	0	0
352	0	0
336	0	0
320	0	0
320	0	0
336	0	0
288	0	0
336	0	0
320	0	0
336	0	0
320	0	0
336	0	0
352	0	0
352	0	0
352	0	0
352	0	0
320	0	0
320	0	0
352	0	0
336	0	0
336	0	0
352	0	0
336	0	0
368	0	0
352	0	0
352	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
304	0	0
336	0	0
320	0	0
320	0	0
320	0	0
336	0	0
320	0	0
352	0	0
336	0	0
368	0	0
368	0	0
384	0	0
368	0	0
416	0	0
336	0	0
336	0	0
352	0	0
336	0	0
304	0	0
368	0	0
336	0	0
352	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
336	0	0
368	0	0
320	0	0
336	0	0
352	0	0
304	0	0
304	0	0
320	0	0
336	0	0
336	0	0
352	0	0
320	0	0
336	0	0
368	0	0
320	0	0
288	0	0
320	0	0
304	0	0
320	0	0
384	0	0
320	0	0
320	0	0
320	0	0
352	0	0
304	0	0
320	0	0
320	0	0
352	0	0
320	0	0
272	0	0
304	0	0
336	0	0
320	0	0
352	0	0
304	0	0
352	0	0
336	0	0
320	0	0
336	0	0
336	0	0
304	0	0
352	0	0
320	0	0
352	0	0
352	0	0
336	0	0
336	0	0
336	0	0
320	0	0
352	0	0
368	0	0
320	0	0
368	0	0
336	0	0
368	0	0
336	0	0
304	0	0
304	0	0
352	0	0
336	0	0
336	0	0
304	0	0
352	0	0
384	0	0
336	0	0
352	0	0
336	0	0
352	0	0
320	0	0
336	0	0
320	0	0
336	0	0
336	0	0
352	0	0
320	0	0
352	0	0
320	0	0
336	0	0
336	0	0
336	0	0
304	0	0
336	0	0
320	0	0
336	0	0
320	0	0
336	0	0
304	0	0
320	0	0
352	0	0
320	0	0
336	0	0
336	0	0
400	0	0
416	0	0
384	0	0
432	0	0
352	0	0
400	0	0
368	0	0
368	0	0
368	0	0
352	0	0
336	0	0
336	0	0
304	0	0
352	0	0
320	0	0
304	0	0
320	0	0
352	0	0
352	0	0
320	0	0
320	0	0
336	0	0
336	0	0
320	0	0
336	0	0
320	0	0
336	0	0
336	0	0
352	0	0
336	0	0
320	0	0
352	0	0
320	0	0
336	0	0
304	0	0
336	0	0
304	0	0
304	0	0
352	0	0
304	0	0
368	0	0
352	0	0
304	0	0
320	0	0
288	0	0
320	0	0
320	0	0
320	0	0
368	0	0
352	0	0
320	0	0
336	0	0
320	0	0
320	0	0
368	0	0
304	0	0
336	0	0
352	0	0
336	0	0
320	0	0
304	0	0
336	0	0
336	0	0
352	0	0
384	0	0
320	0	0
336	0	0
336	0	0
352	0	0
336	0	0
320	0	0
320	0	0
336	0	0
304	0	0
352	0	0
304	0	0
352	0	0
336	0	0
384	0	0
336	0	0
336	0	0
336	0	0
336	0	0
320	0	0
320	0	0
320	0	0
320	0	0
352	0	0
352	0	0
304	0	0
352	0	0
352	0	0
336	0	0
336	0	0
320	0	0
320	0	0
304	0	0
352	0	0
384	0	0
352	0	0
352	0	0
304	0	0
336	0	0
352	0	0
336	0	0
320	0	0
304	0	0
352	0	0
304	0	0
336	0	0
384	0	0
416	0	0
400	0	0
368	0	0
368	0	0
368	0	0
368	0	0
320	0	0
352	0	0
336	0	0
336	0	0
304	0	0
288	0	0
352	0	0
336	0	0
352	0	0
336	0	0
320	0	0
320	0	0
352	0	0
320	0	0
352	0	0
320	0	0
320	0	0
320	0	0
304	0	0
304	0	0
336	0	0
320	0	0
320	0	0
352	0	0
352	0	0
320	0	0
288	0	0
320	0	0
304	0	0
320	0	0
320	0	0
336	0	0
320	0	0
320	0	0
304	0	0
336	0	0
320	0	0
320	0	0
352	0	0
304	0	0
320	0	0
336	0	0
320	0	0
320	0	0
320	0	0
336	0	0
352	0	0
336	0	0
336	0	0
336	0	0
304	0	0
352	0	0
336	0	0
336	0	0
352	0	0
304	0	0
336	0	0
336	0	0
336	0	0
320	0	0
368	0	0
304	0	0
384	0	0
352	0	0
352	0	0
320	0	0
352	0	0
336	0	0
320	0	0
352	0	0
352	0	0
368	0	0
336	0	0
352	0	0
336	0	0
352	0	0
320	0	0
368	0	0
352	0	0
352	0	0
304	0	0
352	0	0
352	0	0
336	0	0
320	0	0
336	0	0
352	0	0
368	0	0
368	0	0
368	0	0
352	0	0
304	0	0
320	0	0
336	0	0
368	0	0
304	0	0
352	0	0
336	0	0
352	0	0
352	0	0
368	0	0
384	0	0
384	0	0
400	0	0
352	0	0
368	0	0
368	0	0
352	0	0
352	0	0
336	0	0
304	0	0
304	0	0
336	0	0
320	0	0
368	0	0
320	0	0
304	0	0
304	0	0
320	0	0
352	0	0
336	0	0
304	0	0
320	0	0
320	0	0
336	0	0
288	0	0
304	0	0
304	0	0
336	0	0
320	0	0
320	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
352	0	0
336	0	0
368	0	0
320	0	0
304	0	0
320	0	0
336	0	0
272	0	0
320	0	0
320	0	0
288	0	0
288	0	0
368	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
352	0	0
320	0	0
336	0	0
320	0	0
336	0	0
352	0	0
320	0	0
336	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
320	0	0
336	0	0
320	0	0
336	0	0
368	0	0
336	0	0
320	0	0
336	0	0
352	0	0
320	0	0
352	0	0
352	0	0
336	0	0
320	0	0
368	0	0
352	0	0
320	0	0
320	0	0
336	0	0
336	0	0
288	0	0
320	0	0
336	0	0
320	0	0
336	0	0
320	0	0
320	0	0
352	0	0
336	0	0
304	0	0
352	0	0
320	0	0
336	0	0
320	0	0
352	0	0
336	0	0
320	0	0
320	0	0
368	0	0
352	0	0
368	0	0
352	0	0
352	0	0
352	0	0
368	0	0
384	0	0
352	0	0
368	0	0
384	0	0
368	0	0
336	0	0
352	0	0
304	0	0
336	0	0
320	0	0
320	0	0
288	0	0
288	0	0
336	0	0
336	0	0
304	0	0
288	0	0
352	0	0
320	0	0
352	0	0
288	0	0
288	0	0
352	0	0
320	0	0
336	0	0
320	0	0
304	0	0
320	0	0
336	0	0
320	0	0
320	0	0
368	0	0
320	0	0
320	0	0
304	0	0
352	0	0
304	0	0
352	0	0
336	0	0
320	0	0
320	0	0
320	0	0
336	0	0
368	0	0
352	0	0
320	0	0
368	0	0
336	0	0
320	0	0
336	0	0
304	0	0
352	0	0
272	0	0
320	0	0
320	0	0
336	0	0
352	0	0
320	0	0
320	0	0
336	0	0
304	0	0
320	0	0
304	0	0
320	0	0
336	0	0
320	0	0
352	0	0
304	0	0
336	0	0
320	0	0
352	0	0
304	0	0
320	0	0
304	0	0
336	0	0
352	0	0
320	0	0
352	0	0
320	0	0
352	0	0
304	0	0
304	0	0
368	0	0
336	0	0
336	0	0
368	0	0
352	0	0
352	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
336	0	0
320	0	0
336	0	0
352	0	0
336	0	0
320	0	0
336	0	0
352	0	0
336	0	0
320	0	0
336	0	0
352	0	0
320	0	0
368	0	0
384	0	0
416	0	0
368	0	0
368	0	0
336	0	0
368	0	0
352	0	0
320	0	0
320	0	0
336	0	0
320	0	0
352	0	0
320	0	0
320	0	0
320	0	0
336	0	0
368	0	0
352	0	0
320	0	0
320	0	0
336	0	0
352	0	0
336	0	0
352	0	0
320	0	0
320	0	0
336	0	0
336	0	0
304	0	0
352	0	0
336	0	0
320	0	0
320	0	0
352	0	0
368	0	0
352	0	0
336	0	0
320	0	0
304	0	0
304	0	0
304	0	0
320	0	0
272	0	0
320	0	0
352	0	0
320	0	0
304	0	0
320	0	0
336	0	0
320	0	0
336	0	0
320	0	0
288	0	0
368	0	0
304	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
352	0	0
336	0	0
320	0	0
368	0	0
336	0	0
352	0	0
352	0	0
320	0	0
336	0	0
304	0	0
320	0	0
336	0	0
336	0	0
352	0	0
368	0	0
352	0	0
368	0	0
352	0	0
368	0	0
384	0	0
320	0	0
336	0	0
336	0	0
368	0	0
352	0	0
352	0	0
336	0	0
336	0	0
320	0	0
320	0	0
320	0	0
352	0	0
352	0	0
336	0	0
320	0	0
320	0	0
320	0	0
288	0	0
352	0	0
368	0	0
320	0	0
304	0	0
320	0	0
304	0	0
320	0	0
320	0	0
384	0	0
384	0	0
368	0	0
384	0	0
384	0	0
368	0	0
368	0	0
336	0	0
352	0	0
352	0	0
320	0	0
352	0	0
320	0	0
352	0	0
304	0	0
352	0	0
320	0	0
288	0	0
304	0	0
336	0	0
336	0	0
304	0	0
272	0	0
336	0	0
336	0	0
336	0	0
352	0	0
320	0	0
320	0	0
304	0	0
336	0	0
304	0	0
320	0	0
336	0	0
368	0	0
336	0	0
336	0	0
336	0	0
336	0	0
320	0	0
336	0	0
320	0	0
352	0	0
352	0	0
336	0	0
304	0	0
384	0	0
320	0	0
352	0	0
336	0	0
304	0	0
336	0	0
336	0	0
320	0	0
320	0	0
304	0	0
336	0	0
320	0	0
352	0	0
336	0	0
352	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
352	0	0
336	0	0
336	0	0
288	0	0
320	0	0
336	0	0
288	0	0
320	0	0
320	0	0
304	0	0
352	0	0
368	0	0
384	0	0
368	0	0
352	0	0
320	0	0
320	0	0
320	0	0
336	0	0
352	0	0
368	0	0
352	0	0
304	0	0
352	0	0
336	0	0
352	0	0
368	0	0
320	0	0
352	0	0
336	0	0
384	0	0
368	0	0
336	0	0
352	0	0
352	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
304	0	0
352	0	0
352	0	0
352	0	0
400	0	0
384	0	0
400	0	0
352	0	0
368	0	0
352	0	0
352	0	0
352	0	0
368	0	0
320	0	0
336	0	0
336	0	0
368	0	0
304	0	0
384	0	0
320	0	0
352	0	0
336	0	0
336	0	0
304	0	0
336	0	0
336	0	0
304	0	0
352	0	0
336	0	0
320	0	0
320	0	0
336	0	0
336	0	0
352	0	0
352	0	0
320	0	0
336	0	0
352	0	0
352	0	0
336	0	0
336	0	0
352	0	0
288	0	0
304	0	0
336	0	0
336	0	0
320	0	0
320	0	0
336	0	0
304	0	0
336	0	0
304	0	0
320	0	0
320	0	0
336	0	0
336	0	0
336	0	0
352	0	0
336	0	0
352	0	0
352	0	0
320	0	0
336	0	0
352	0	0
320	0	0
368	0	0
336	0	0
336	0	0
352	0	0
320	0	0
336	0	0
320	0	0
336	0	0
352	0	0
368	0	0
352	0	0
336	0	0
304	0	0
336	0	0
368	0	0
320	0	0
320	0	0
368	0	0
352	0	0
368	0	0
336	0	0
336	0	0
352	0	0
336	0	0
320	0	0
336	0	0
320	0	0
336	0	0
336	0	0
336	0	0
368	0	0
352	0	0
336	0	0
336	0	0
336	0	0
336	0	0
320	0	0
336	0	0
352	0	0
352	0	0
336	0	0
368	0	0
304	0	0
352	0	0
352	0	0
384	0	0
384	0	0
368	0	0
368	0	0
336	0	0
368	0	0
336	0	0
320	0	0
352	0	0
304	0	0
320	0	0
336	0	0
320	0	0
336	0	0
304	0	0
368	0	0
336	0	0
304	0	0
352	0	0
320	0	0
336	0	0
352	0	0
336	0	0
320	0	0
304	0	0
352	0	0
336	0	0
320	0	0
336	0	0
320	0	0
352	0	0
336	0	0
288	0	0
304	0	0
288	0	0
336	0	0
320	0	0
304	0	0
368	0	0
336	0	0
288	0	0
352	0	0
320	0	0
304	0	0
320	0	0
336	0	0
336	0	0
320	0	0
304	0	0
352	0	0
336	0	0
336	0	0
336	0	0
320	0	0
320	0	0
352	0	0
336	0	0
368	0	0
368	0	0
352	0	0
336	0	0
336	0	0
336	0	0
320	0	0
352	0	0
352	0	0
352	0	0
352	0	0
336	0	0
352	0	0
320	0	0
320	0	0
336	0	0
336	0	0
336	0	0
352	0	0
368	0	0
320	0	0
352	0	0
352	0	0
320	0	0
352	0	0
336	0	0
304	0	0
336	0	0
336	0	0
336	0	0
352	0	0
336	0	0
320	0	0
352	0	0
352	0	0
352	0	0
352	0	0
352	0	0
368	0	0
352	0	0
320	0	0
320	0	0
320	0	0
336	0	0
336	0	0
320	0	0
368	0	0
304	0	0
384	0	0
368	0	0
400	0	0
384	0	0
368	0	0
336	0	0
336	0	0
352	0	0
336	0	0
320	0	0
336	0	0
352	0	0
320	0	0
336	0	0
352	0	0
320	0	0
304	0	0
368	0	0
320	0	0
304	0	0
320	0	0
336	0	0
352	0	0
320	0	0
304	0	0
336	0	0
320	0	0
336	0	0
352	0	0
336	0	0
320	0	0
320	0	0
352	0	0
352	0	0
320	0	0
352	0	0
304	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
368	0	0
320	0	0
304	0	0
320	0	0
304	0	0
352	0	0
336	0	0
336	0	0
368	0	0
336	0	0
336	0	0
336	0	0
336	0	0
304	0	0
320	0	0
304	0	0
352	0	0
336	0	0
320	0	0
304	0	0
352	0	0
336	0	0
336	0	0
336	0	0
304	0	0
352	0	0
288	0	0
336	0	0
320	0	0
336	0	0
336	0	0
320	0	0
320	0	0
336	0	0
336	0	0
352	0	0
336	0	0
352	0	0
368	0	0
384	0	0
336	0	0
352	0	0
320	0	0
352	0	0
352	0	0
320	0	0
336	0	0
384	0	0
320	0	0
336	0	0
320	0	0
320	0	0
304	0	0
304	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
288	0	0
320	0	0
304	0	0
336	0	0
384	0	0
416	0	0
400	0	0
400	0	0
400	0	0
368	0	0
384	0	0
352	0	0
352	0	0
336	0	0
320	0	0
336	0	0
352	0	0
336	0	0
352	0	0
320	0	0
304	0	0
288	0	0
304	0	0
336	0	0
336	0	0
352	0	0
336	0	0
304	0	0
320	0	0
304	0	0
304	0	0
336	0	0
352	0	0
304	0	0
336	0	0
320	0	0
304	0	0
336	0	0
320	0	0
368	0	0
320	0	0
320	0	0
352	0	0
352	0	0
320	0	0
336	0	0
320	0	0
304	0	0
320	0	0
352	0	0
320	0	0
336	0	0
320	0	0
352	0	0
352	0	0
304	0	0
336	0	0
352	0	0
320	0	0
336	0	0
336	0	0
352	0	0
336	0	0
368	0	0
320	0	0
336	0	0
336	0	0
336	0	0
320	0	0
320	0	0
304	0	0
320	0	0
320	0	0
336	0	0
352	0	0
336	0	0
320	0	0
304	0	0
320	0	0
368	0	0
304	0	0
368	0	0
336	0	0
384	0	0
320	0	0
320	0	0
336	0	0
368	0	0
304	0	0
320	0	0
320	0	0
320	0	0
384	0	0
352	0	0
352	0	0
320	0	0
336	0	0
352	0	0
336	0	0
304	0	0
304	0	0
320	0	0
336	0	0
336	0	0
320	0	0
336	0	0
336	0	0
336	0	0
336	0	0
400	0	0
384	0	0
400	0	0
400	0	0
400	0	0
368	0	0
336	0	0
336	0	0
336	0	0
352	0	0
352	0	0
352	0	0
320	0	0
320	0	0
320	0	0
336	0	0
320	0	0
320	0	0
320	0	0
304	0	0
336	0	0
336	0	0
272	0	0
288	0	0
336	0	0
320	0	0
320	0	0
336	0	0
320	0	0
320	0	0
320	0	0
304	0	0
336	0	0
352	0	0
304	0	0
352	0	0
336	0	0
336	0	0
336	0	0
304	0	0
304	0	0
304	0	0
320	0	0
320	0	0
336	0	0
336	0	0
320	0	0
304	0	0
320	0	0
320	0	0
336	0	0
336	0	0
320	0	0
304	0	0
320	0	0
320	0	0
336	0	0
336	0	0
320	0	0
352	0	0
304	0	0
304	0	0
304	0	0
320	0	0
304	0	0
352	0	0
352	0	0
336	0	0
320	0	0
304	0	0
336	0	0
336	0	0
352	0	0
352	0	0
352	0	0
320	0	0
336	0	0
336	0	0
352	0	0
352	0	0
320	0	0
